delta,s0,s1
0.1105533808413614,0.3417141907099538,0.4522675715513152
0.12622774048149304,0.3276810865083905,0.45390882698988355
0.14188585698605832,0.316321468700152,0.4582073256862103
0.09907647843685369,0.3558860611170991,0.45496253955395277
0.11858585060611154,0.32108863687972916,0.4396744874858407
0.09438765871273064,0.3375788219474159,0.43196648066014653
0.13455883211128544,0.31825008863628423,0.4528089207475697
0.07068094361947252,0.36560134985772247,0.436282293477195
0.08887652468851781,0.3250764405394575,0.4139529652279753
0.11891843740635633,0.3259633164830145,0.44488175388937085
0.13584961852283528,0.32523511124661053,0.4610847297694458
0.1200446860054824,0.29806957474264373,0.41811426074812613
0.09814798900053584,0.3479212878415485,0.44606927684208436
0.15274470213878844,0.3078725149419902,0.46061721708077863
0.07698322979849015,0.3377128102140428,0.41469604001253296
0.13895938576472822,0.30178410156720836,0.4407434873319366
0.15507534852904437,0.3176148220845042,0.47269017061354857
0.12534927184439587,0.326208563746203,0.45155783559059887
0.09787810417264309,0.34537502558134797,0.44325312975399106
0.11755179954625389,0.31818594966742836,0.43573774921368225
0.10266252354354871,0.33658547769797975,0.43924800124152846
0.11886979785266943,0.3307402287526671,0.44961002660533655
0.1293200911635361,0.3077211835593995,0.4370412747229356
0.1327661053385087,0.2835732498412636,0.4163393551797723
0.14410604840674157,0.3069547120782161,0.4510607604849577
0.14892502824286502,0.3147253086744151,0.46365033691728014
0.1535944147678237,0.3220219951551461,0.47561640992296983
0.08172349381059679,0.3310681660571729,0.41279165986776967
0.09326958287116655,0.35332950628942494,0.4465990891605915
0.19007113162196948,0.2984370434300405,0.48850817505201
0.08565050941790109,0.3316237918871892,0.4172743013050903
0.10178220241325997,0.3266601367941435,0.4284423392074035
0.08276265041972658,0.34623972850923385,0.4290023789289604
0.13513225070852708,0.31861761946586864,0.4537498701743957
0.1324833032397954,0.33060668745689265,0.46308999069668805
0.12657814339395568,0.3219123763002434,0.44849051969419906
0.07176413396603926,0.3576774168091271,0.4294415507751664
0.11105168137564975,0.3443614400093056,0.4554131213849553
0.114801201860391,0.31904665779937885,0.43384785965976985
0.13033169711913767,0.32669515255053977,0.45702684966967744
0.17041650549436216,0.3076804913171561,0.47809699681151824
0.15417261016709394,0.32209492013010244,0.4762675302971964
0.11459655804628238,0.3332649840949049,0.4478615421411873
0.14236279602718216,0.316236722012618,0.45859951803980015
0.1481071101208386,0.34367585170277276,0.49178296182361136
0.14934174720448495,0.3316391175764431,0.48098086478092805
0.13255467058075004,0.32563286862669194,0.458187539207442
0.15078509981493637,0.31162791226318987,0.46241301207812624
0.15173942316476086,0.3365267395065067,0.48826616267126755
0.10473073268892974,0.34057928957180006,0.4453100222607298
0.07366026164532696,0.38010119141570586,0.4537614530610328
0.114862823075503,0.3016147051243371,0.4164775281998401
0.0970664723128376,0.3502980843890917,0.4473645567019293
0.1405293996639831,0.31960755814395253,0.4601369578079356
0.1250907894722686,0.32788159992237204,0.45297238939464063
0.1164323662802978,0.3308107322915395,0.4472430985718373
0.1445775723274974,0.31252752748712925,0.45710509981462666
0.15335943642939648,0.29416059876981226,0.44752003519920874
0.11437556692214601,0.3145454720577776,0.4289210389799236
0.14196194968752301,0.320321279617266,0.462283229304789
0.12503931157434284,0.32467703290765526,0.4497163444819981
0.1456682966919023,0.3266084089914411,0.4722767056833434
0.08314857248071195,0.3548592033720652,0.43800777585277717
0.1049752992514193,0.3207586526573845,0.4257339519088038
0.14699476936269562,0.30786391004623903,0.45485867940893465
0.10871999189346637,0.3077553162980511,0.41647530819151746
0.17594803357362465,0.3116883503158309,0.48763638388945557
0.10324505312102067,0.3609192904997326,0.46416434362075326
0.10523497380155977,0.3211175977073587,0.4263525715089185
0.16549851242562397,0.3172736392830698,0.48277215170869375
0.1053344099817648,0.3485370230665005,0.45387143304826527
0.11826949134103482,0.3571265604247337,0.4753960517657685
0.1807593305925687,0.30639106739464644,0.48715039798721516
0.1022416588210262,0.3298092349968478,0.432050893817874
0.14864613476023603,0.3109032086382642,0.45954934339850023
0.12480279910672509,0.3464326107814621,0.4712354098881872
